17,7682647;1;;R1-R2;*10^4;10000
17,7688274;282;;-0,0003395;-3,395;
17,7680206;283;;-0,0008068;-8,068;
17,7682991;284;;0,0002785;2,785;
17,7682132;285;;-8,59E-05;-0,859;
17,7679729;286;;-0,0002403;-2,403;
17,7681026;287;;0,0001297;1,297;
17,7687168;288;;0,0006142;6,142;
17,7691764;289;;0,0004596;4,596;
17,7681293;290;;-0,0010471;-10,471;
17,7683334;291;;0,0002041;2,041;
17,7691745;292;;0,0008411;8,411;
17,7685413;293;;-0,0006332;-6,332;
17,7686977;294;;0,0001564;1,564;
17,7685413;295;;-0,0001564;-1,564;
17,7677536;296;;-0,0007877;-7,877;
17,768053;297;;0,0002994;2,994;
17,7688274;298;;0,0007744;7,744;
17,7688541;299;;2,67E-05;0,267;
17,7690467;300;;0,0001926;1,926;
17,769041;301;;-5,70E-06;-0,057;
17,7687263;302;;-0,0003147;-3,147;
17,7679748;303;;-0,0007515;-7,515;
17,7682189;304;;0,0002441;2,441;
17,7681407;305;;-7,82E-05;-0,782;
17,7684078;306;;0,0002671;2,671;
17,768404;307;;-3,80E-06;-0,038;
17,7686958;308;;0,0002918;2,918;
17,7687492;309;;5,34E-05;0,534;
17,7689857;310;;0,0002365;2,365;
17,768505;311;;-0,0004807;-4,807;
17,7691497;312;;0,0006447;6,447;
17,7692565;313;;0,0001068;1,068;
17,7695045;314;;0,000248;2,48;
17,7686805;315;;-0,000824;-8,24;
17,7692127;316;;0,0005322;5,322;
17,7693119;317;;9,92E-05;0,992;
17,768444;318;;-0,0008679;-8,679;
17,7683944;319;;-4,96E-05;-0,496;
17,7687702;320;;0,0003758;3,758;
17,7682609;321;;-0,0005093;-5,093;
17,7681407;322;;-0,0001202;-1,202;
17,7688655;323;;0,0007248;7,248;
17,7687511;324;;-0,0001144;-1,144;
17,7683944;325;;-0,0003567;-3,567;
17,7685604;326;;0,000166;1,66;
17,7685508;327;;-9,60E-06;-0,096;
17,7689266;328;;0,0003758;3,758;
17,766119;329;;-0,0028076;-28,076;
17,7570152;330;;-0,0091038;-91,038;
17,7459049;331;;-0,0111103;-111,103;
17,7332687;332;;-0,0126362;-126,362;
17,7205638;333;;-0,0127049;-127,049;
17,7079505;334;;-0,0126133;-126,133;
17,6934642;335;;-0,0144863;-144,863;
17,6838588;336;;-0,0096054;-96,054;
17,6724796;337;;-0,0113792;-113,792;
17,6616153;338;;-0,0108643;-108,643;
17,6514472;339;;-0,0101681;-101,681;
17,6408157;340;;-0,0106315;-106,315;
17,6305103;341;;-0,0103054;-103,054;
17,6208667;342;;-0,0096436;-96,436;
17,6112709;343;;-0,0095958;-95,958;
17,6021385;344;;-0,0091324;-91,324;
17,5941143;345;;-0,0080242;-80,242;
17,5866355;346;;-0,0074788;-74,788;
17,5778923;347;;-0,0087432;-87,432;
17,5698604;348;;-0,0080319;-80,319;
17,5620384;349;;-0,007822;-78,22;
17,5544548;350;;-0,0075836;-75,836;
17,5482406;351;;-0,0062142;-62,142;
17,5409793;352;;-0,0072613;-72,613;
17,5320854;353;;-0,0088939;-88,939;
17,5275707;354;;-0,0045147;-45,147;
17,5216159;355;;-0,0059548;-59,548;
17,5145854;356;;-0,0070305;-70,305;
17,5093803;357;;-0,0052051;-52,051;
17,5038299;358;;-0,0055504;-55,504;
17,4975738;359;;-0,0062561;-62,561;
17,4932136;360;;-0,0043602;-43,602;
17,4876384;361;;-0,0055752;-55,752;
17,4824619;362;;-0,0051765;-51,765;
17,4781913;363;;-0,0042706;-42,706;
17,4727382;364;;-0,0054531;-54,531;
